Name,Class,PC1,PC2,PC3
Sodium decanoate,Anionic,-2.431770023,-0.530821338,-0.639214177
Sodium Laurate ,Anionic,-2.038223737,-0.349732326,-1.132650484
Palmitic acid sodium salt,Anionic,-1.36107748,0.685062743,-0.468976543
Sodium Stearate,Anionic,-1.16381661,0.955421195,-0.726012334
Sodium Oleate ,Anionic,-1.087329925,0.992430381,-1.254783622
"1-Decanesulfonic acid, sodium salt",Anionic,-2.265833289,-0.58273681,-0.45791289
"1-Dodecanesulfonic acid, sodium salt",Anionic,-1.967009984,-0.401655624,-0.724920755
Sodium 1-tetradecanesulfonate ,Anionic,-1.648594028,0.237114829,-0.263358847
Sodium 1-hexadecanesulfonate ,Anionic,-1.174507146,0.593876682,-0.617830575
n-Decyl sodium sulfate,Anionic,-2.380202643,-0.980497704,-0.842527576
SDS ,Anionic,-1.655743122,0.05836165,-0.300353788
Sodium-1-tetradecyl sulfate,Anionic,-1.904736104,-0.548599656,-0.984541518
Sodium Hexadecyl sulfate ,Anionic,-1.668525124,0.229856649,-0.368269918
Sodium n-octadecy sulfate,Anionic,-1.40440763,0.517237483,-0.403784821
Sodium 4-n-octylbenzenesulfonate,Anionic,-2.121809715,-0.650004573,0.499223678
SDBS,Anionic,-1.485426886,-0.318519035,-0.119169653
4-Dodecylbenzene sulfonic acid,Anionic,-1.684227852,-0.793282169,-1.935800916
Dioctyl sulfosuccinate sodium salt,Anionic,-0.480423682,0.656059472,-1.800940842
Dihexyl sodium sulfosuccinate,Anionic,-0.916496105,0.812167871,-0.572581974
Cithrol 10MS ,Non-ionic,1.805874954,-0.370299191,-0.292752033
Citrhol 4DS,Non-ionic,2.93835573,3.494307031,-0.223455003
Croduret 25-LQ,Non-ionic,6.575149915,4.721975412,-1.008045006
Croduret 50-SS,Non-ionic,7.691122588,3.727412978,-0.510989991
Crodasinic LS95,Non-ionic,-0.365089741,0.861907518,-2.569052234
